"customer_excel","rows","rank","score","customer_id","custcd","customer_name","matched_via","ctry","city","bill_to","so_orders","last_so","geo","verdict"
"Biggame & MIIT","2","1","70","587","1092","Biggame Teamwear Co.,Ltd. (Branch 00001)","BIGGAME TEAMWEAR CO, LTD","TH","Nakornprathom","Y","54","2026-06-23","","REVIEW"
"Biggame & MIIT","2","2","36","20","019","MIIT Co.,Ltd.","MIIT Co.,Ltd.","TH","","Y","6","2017-03-14","",""
"Biggame & MIIT","2","3","31.2","371","951","Joint China Garment Limited","Joint China Garment Limited","HK","-","Y","2","2019-05-10","",""
"YEH Pattana","2","1","70","426","982","YEH Parfun Co., Ltd.","YEH Parfun Co., Ltd.","TH","","Y","1","2019-05-15","","REVIEW"
"YEH Pattana","2","2","30.8","711","1206","PVH Far East Limited","PVH Far East Limited","HK","Kowloon","Y","1","2024-06-14","",""
"YEH Pattana","2","3","25.5","156","749","Chantasia Co.,Ltd. (Head Office)","Chantasia","TH","","Y","1732","2026-09-04","",""
"Forster_FRSZ & SED","2","1","65","245","835","Forster Rohner  (Suzhou) Embroidery co.,Ltd.","Forster Rohner  (Suzhou) Embroidery co.,Ltd.","CH","Suzhou","Y","57","2025-09-05","","WEAK"
"Forster_FRSZ & SED","2","2","66.7","274","864","Forster Rohner AG","Forster Rohner AG","SW","","Y","4","2018-06-30","",""
"Forster_FRSZ & SED","2","3","65","658","1157","Forster Rohner (Suzhou) Embroidery Co., Ltd","Forster Rohner (Suzhou) Embroidery Co., Ltd","CH","Suzhou","Y","0","","",""
"Triumph Hong Kong 257138AA23","1","1","75.7","99","098","Triumph HK","Triumph HK","HK","","Y","16","2018-02-28","ctry+","REVIEW"
"Triumph Hong Kong 257138AA23","1","2","74","193","786","Triumph International Services (APAC) Limited.","Triumph International Services (APAC) Limited.","HK","","Y","51","2025-01-10","ctry+",""
"Triumph Hong Kong 257138AA23","1","3","59.7","172","765","Triumph International (Vietnam) Ltd.","Triumph International (Vietnam) Ltd.","VN","","Y","529","2026-07-02","ctry-",""
