Cerie 	12	18	ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | ESCHLER PRICE | Eschler to Bischoff THAILAND | Eschler to Bischoff THAILAND | Eschler to Bischoff THAILAND | Eschler to Bischoff THAILAND | Eschler to Bischoff THAILAND | Eschler to Bischoff THAILAND | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | Eschler to Bischoff LANKA | BISCHOFF LANKA PRICE | BISCHOFF LANKA PRICE | BISCHOFF LANKA PRICE | BISCHOFF LANKA PRICE | BISCHOFF LANKA PRICE | BISCHOFF LANKA PRICE
Cerie 	13	24	MOQ | Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | PFE/PFD | All colors | PFE/PFD | All colors | Article | MOQ MCQ | Greige | PFD | Color | Price | Article | Greige | Greige | Greige | PFD | Remark | Price | Article | Bischoff to Customer | Price ($/m) | MOQ(m) | MCQ(m) | REMARK
Cerie 	14	12	CM. | CM. | G/M2 | US$ | US$ | THB | THB | MOQ MCQ | THB/kg | THB/kg | THB/kg | Update | MOQ/kg | THB/kg | US$/kg | THB/Meter | Update
Chief You	2	11	Date | Article | Fabric name | Composition | Full Width | Useable Width | Weight | MOQ | Qty per color | PFE/PFD | All dye colors | REMARK
Chi Shing	3	8	Qty per color | Article | Fabric name | Composition | Full Width | Useable Width | Weight | All colors
Clover	2	10	Date | MOQ | Qty per color | Article | Fabric name | Composition | Weight | Useable Width | Full Width | All color (USD/M)
Contespa	7	6	Article | compositon | Full width(CM) | Usable withd(CM) | weight(gsm) | MOQ(M) | MCQ(M) | Price/M.
Crystal Martin	5	6	Article | compositon | Full width(CM) | Usable withd(CM) | weight(gsm) | MOQ(M) | MCQ(M) | Price/M.
Crystal Martin	11	9	QUALITY | ETH ITEM | WEIGHT | MIN FULL WIDTH | MIN USABLE WIDTH | WARP EXT/MOD @ 3.6KG | WEFT EXT/MOD @ 3.6KG | COMPOSITION | TARGET PRICE | PA PRICE | ESCHLER PRICE (NORMAL) | ESCHLER PRICE ( RECYCLED) | REMARKS
Crystal Martin	19	8	Customer | Article | Composition | Width | Usable width | Weight | MOQ | MCQ | Price for all colours | Remarks
