sheet,source_row,header_row,article,fabric_name,composition,full_width_cm,usable_width_cm,weight_gsm,moq,qty_raw,qty_min,qty_max,color_tier,currency,price,date_raw,remark,block_note
CENTER PRICE USD for internal,40,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,1.83,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,40,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,2.20,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,40,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,55,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,40,14,251195,PA CHARMEUSE SILK TOUCH,100% PA,150 - 155 cm.,145 - 150 cm.,36 - 41 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,66,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,42,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,5.50,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,42,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,6.67,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,42,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,165,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,43,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,5.17,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,43,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,6.17,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,43,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,155,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,43,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,185,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,44,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,5.07,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,44,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,6.07,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,44,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,152,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,44,14,251205,POWER MESH,"86% PA, 14% ELASTANE",185 - 190 cm.,180 - 185 cm.,130 - 140 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,182,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,46,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,3.73,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,46,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200-600m.,200,600,All_colors,USD,4.33,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,46,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,THB,112,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,46,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.",200-600m.,200,600,All_colors,THB,130,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,47,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,USD,3.37,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,47,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,USD,3.90,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,47,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","601-2,000m.",601,2000,PFE/PFD,THB,101,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,47,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","601-2,000m.",601,2000,All_colors,THB,117,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,48,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,USD,3.30,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,48,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,USD,3.77,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,48,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","2,001-5,000m.",2001,5000,PFE/PFD,THB,99,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,48,14,251208,ELASTIC CHARMEUSE,"80% PA, 20% ELASTANE",143 - 148 cm.,138 - 143 cm.,68 - 73 g/m2,"3,000m.","2,001-5,000m.",2001,5000,All_colors,THB,113,,,DATE : 4th Mar 2020
CENTER PRICE USD for internal,50,14,254509,PA CHARMEUSE,100% PA,160 - 165 cm.,155 - 160 cm.,78 - 83 g/m2,"3,000m.",200-600m.,200,600,PFE/PFD,USD,2.97,,,DATE : 4th Mar 2020
